City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
179,Ankang,CN,32.68,109.0172,56.82,46,0,1.23,clear sky
180,Lompoc,US,34.6391,-120.4579,61.12,100,1,5.75,mist
181,Mandalgovi,MN,45.7625,106.2708,25.27,33,0,15.14,clear sky
182,Cayenne,GF,4.9333,-52.3333,76.08,91,75,2.3,broken clouds
183,Nikolayevskaya,RU,47.6139,41.5023,34.84,87,100,2.26,overcast clouds
184,Filadelfia,US,39.9523,-75.1638,48.22,74,90,4.0,overcast clouds
185,Nampula,MZ,-15.1165,39.2666,76.95,73,20,5.75,few clouds
186,San Matias,BO,-16.3667,-58.4,73.08,98,100,3.65,moderate rain
187,Tigzirt,DZ,36.8886,4.1198,51.93,66,41,22.66,scattered clouds
188,Hirara,JP,24.8,125.2833,76.86,57,20,13.8,few clouds
189,Ataco,CO,3.5915,-75.3818,72.7,89,74,4.14,broken clouds
190,Inongo,CD,-1.95,18.2667,70.27,94,100,5.5,overcast clouds
191,Caravelas,BR,-17.7125,-39.2481,73.2,90,1,5.14,clear sky
192,Florida,US,28.7505,-82.5001,63.75,78,40,3.56,scattered clouds
193,Nome,US,64.5011,-165.4064,32.07,87,90,24.16,mist
194,Avera,US,33.194,-82.5271,58.87,77,34,5.79,scattered clouds
195,Yulara,AU,-25.2406,130.9889,89.44,27,0,8.05,clear sky
196,Nishihara,JP,26.1842,127.7558,74.48,57,40,17.27,scattered clouds
197,Katsuura,JP,35.1333,140.3,55.11,70,100,8.19,moderate rain
198,Iqaluit,CA,63.7506,-68.5145,11.93,61,90,18.99,overcast clouds
199,Aswan,EG,24.0934,32.907,56.55,45,26,10.33,scattered clouds
200,Barrow,US,71.2906,-156.7887,21.22,79,90,20.71,overcast clouds
201,Arraial Do Cabo,BR,-22.9661,-42.0278,73.71,91,52,17.25,moderate rain
202,Chuy,UY,-33.6971,-53.4616,62.08,93,66,5.57,broken clouds
203,Chapais,CA,49.7834,-74.8492,1.18,94,100,4.52,overcast clouds
204,Ostrovnoy,RU,68.0531,39.5131,10.44,75,89,23.15,overcast clouds
205,High Level,CA,58.5169,-117.136,-29.09,75,1,2.3,clear sky
206,Chacabuco,AR,-34.6417,-60.4739,62.8,94,0,6.38,clear sky
207,Sabya,SA,17.1495,42.6254,74.82,69,0,6.6,clear sky
208,Poum,NC,-20.2333,164.0167,81.45,74,16,13.38,few clouds
209,Bengkulu,ID,-3.8004,102.2655,82.45,73,99,8.86,overcast clouds
210,Quelimane,MZ,-17.8786,36.8883,80.55,78,20,8.05,few clouds
211,Santiago De Cao,PE,-7.9589,-79.2392,65.08,89,100,11.05,overcast clouds
212,Lauingen,DE,48.5677,10.4271,34.21,93,16,1.3,few clouds
213,Madingou,CG,-4.1536,13.55,72.45,97,100,2.68,light rain
214,Taveta,KE,-3.3963,37.6736,71.19,86,97,2.77,overcast clouds
215,Dunedin,NZ,-45.8742,170.5036,54.81,66,94,3.0,overcast clouds
216,Tasiilaq,GL,65.6145,-37.6368,28.99,97,100,15.21,snow
217,Opuwo,NA,-18.0607,13.84,64.8,26,4,2.93,clear sky
218,Hobyo,SO,5.3505,48.5268,79.11,70,68,16.13,broken clouds
219,Inverell,AU,-29.7833,151.1167,74.1,65,97,10.0,overcast clouds
220,Port-Cartier,CA,50.0334,-66.8654,7.02,69,27,5.44,scattered clouds
221,Buenos Aires,AR,-34.6132,-58.3772,69.94,81,75,14.97,broken clouds
222,Sukhobezvodnoye,RU,57.0491,44.8891,7.16,82,21,5.06,few clouds
223,Revelstoke,CA,50.9832,-118.2023,21.22,79,90,3.44,overcast clouds
224,Port Blair,IN,11.6667,92.75,82.44,65,20,8.05,few clouds
225,Sabang,ID,5.8933,95.3214,81.99,72,84,14.47,broken clouds
226,Jardim,BR,-21.4803,-56.1381,76.75,60,37,2.53,scattered clouds
227,Locri,IT,38.2414,16.2623,55.31,80,94,3.98,overcast clouds
228,Saint Stephen,GB,50.3333,-4.9,43.21,81,100,10.36,light rain
229,Sidney,AU,-33.8679,151.2073,70.32,63,75,3.0,broken clouds
230,Dumas,US,35.8656,-101.9732,44.02,48,90,27.63,haze
231,Yarensk,RU,62.1675,49.0916,-2.4,100,73,3.6,broken clouds
232,Tarakan,ID,3.3,117.6333,78.3,94,75,2.3,heavy intensity rain
233,Sao Filipe,CV,14.8961,-24.4956,75.04,74,55,11.9,broken clouds
234,Comodoro Rivadavia,AR,-45.8667,-67.5,58.86,72,0,5.75,clear sky
235,Kiama,AU,-34.6833,150.8667,72.37,62,100,8.01,overcast clouds
236,Zabolotovka,RU,50.2737,39.3147,29.25,74,100,5.7,overcast clouds
237,Cidreira,BR,-30.1811,-50.2056,69.21,86,70,12.37,light rain
238,Baganga,PH,7.5739,126.56,80.91,83,100,8.72,moderate rain
239,Chadan,RU,51.2833,91.5833,3.47,94,100,1.86,overcast clouds
240,Baghdad,IQ,33.3406,44.4009,44.51,70,0,4.61,clear sky
241,Korla,CN,41.7597,86.1469,34.18,47,100,1.34,overcast clouds
242,Boende,CD,-0.2167,20.8667,71.35,91,100,2.98,overcast clouds
243,Challans,FR,46.8436,-1.8749,43.27,79,100,10.51,overcast clouds
244,Fortuna,US,40.5982,-124.1573,50.36,74,90,0.0,overcast clouds
245,La Asuncion,VE,11.0333,-63.8628,80.33,89,90,16.11,overcast clouds
246,Coahuayana,MX,18.7333,-103.6833,73.78,94,100,2.8,overcast clouds
247,Edd,ER,13.9297,41.6925,78.84,52,0,15.03,clear sky
248,Prince Rupert,CA,54.3161,-130.3201,35.29,72,90,5.75,overcast clouds
249,Huilong,CN,31.8111,121.655,61.99,60,0,3.58,clear sky
250,Sitka,US,57.0531,-135.33,35.49,75,90,5.75,overcast clouds
251,Novobirilyussy,RU,56.9514,90.6661,30.94,91,100,13.76,overcast clouds
252,Severo-Yeniseyskiy,RU,60.3725,93.0408,12.31,96,100,2.24,light snow
253,Takoradi,GH,4.8845,-1.7554,78.66,87,27,5.1,light rain
254,Benguela,AO,-12.5763,13.4055,75.56,86,84,3.2,broken clouds
255,Sidi Ali,DZ,36.0998,0.4206,53.64,63,3,28.25,clear sky
256,Sungairaya,ID,0.7,108.9,85.96,63,96,10.51,overcast clouds
257,Manati,PR,18.4275,-66.4921,79.47,93,37,9.33,scattered clouds
258,Simpang,ID,-1.2667,104.0833,86.68,62,83,6.98,broken clouds
259,Pevek,RU,69.7008,170.3133,-9.62,96,100,16.33,overcast clouds
260,Carnarvon,AU,-24.8667,113.6333,80.67,65,0,19.57,clear sky
261,Ontario,US,34.0633,-117.6509,71.47,47,20,0.0,haze
262,Hami,CN,42.8,93.45,33.62,44,54,3.51,broken clouds
263,College,US,64.8569,-147.8028,12.65,81,75,3.44,broken clouds
264,Berlevag,NO,70.8578,29.0864,27.12,93,97,27.02,snow
265,Lagoa,PT,39.05,-27.9833,62.85,76,65,12.37,broken clouds
266,Dovbysh,UA,50.3733,27.9874,31.77,96,100,4.36,overcast clouds
267,Dhidhdhoo,MV,6.8833,73.1,82.26,73,17,7.43,few clouds
268,Daly City,US,37.7058,-122.4619,54.14,91,20,1.01,few clouds
269,Shingu,JP,33.7333,135.9833,63.59,79,100,4.14,overcast clouds
270,Zhezkazgan,KZ,47.8043,67.7144,31.57,95,99,7.54,overcast clouds
271,Itoman,JP,26.1247,127.6694,75.22,57,40,17.27,scattered clouds
272,Zhangye,CN,38.9342,100.4517,39.0,27,53,1.57,broken clouds
