City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
28,Kapaa,US,2021-12-04 05:29:40,22.0752,-159.319,71.58,73,1,1.01
29,Te Anau,NZ,2021-12-04 05:32:02,-45.4167,167.7167,59.32,98,100,2.68
30,Meulaboh,ID,2021-12-04 05:32:02,4.1363,96.1285,84.94,62,72,4.59
31,Jamestown,US,2021-12-04 05:32:03,42.097,-79.2353,35.19,95,90,4.0
32,Cherskiy,RU,2021-12-04 05:32:04,68.75,161.3,-12.19,96,100,16.35
33,Vestmanna,FO,2021-12-04 05:32:05,62.1564,-7.1664,34.72,87,75,6.91
34,New Norfolk,AU,2021-12-04 05:32:05,-42.7826,147.0587,59.72,34,88,4.0
35,Tarauaca,BR,2021-12-04 05:32:06,-8.1614,-70.7656,72.36,98,100,2.44
36,Waipawa,NZ,2021-12-04 05:32:07,-41.4122,175.5153,63.23,81,100,3.78
37,Sao Luis Do Quitunde,BR,2021-12-04 05:32:07,-9.3183,-35.5611,78.24,91,47,5.37
38,Port Elizabeth,ZA,2021-12-04 05:32:08,-33.918,25.5701,61.11,74,100,8.97
39,Airai,TL,2021-12-04 05:29:39,-8.9266,125.4092,72.63,66,92,3.38
40,Qaanaaq,GL,2021-12-04 05:32:09,77.484,-69.3632,4.68,80,91,7.56
41,Baruun-Urt,MN,2021-12-04 05:32:09,46.6806,113.2792,31.53,30,6,17.29
42,Hilo,US,2021-12-04 05:30:59,19.7297,-155.09,73.13,92,40,19.57
43,East London,ZA,2021-12-04 05:32:01,-33.0153,27.9116,65.34,94,75,0.0
44,Aleksandrov Gay,RU,2021-12-04 05:32:10,50.147,48.5704,38.84,88,40,18.59
45,Guerrero Negro,MX,2021-12-04 05:27:16,27.9769,-114.0611,61.45,85,35,10.67
46,Bengkulu,ID,2021-12-04 05:29:43,-3.8004,102.2655,83.28,71,100,7.36
47,Mahebourg,MU,2021-12-04 05:33:11,-20.4081,57.7,84.49,70,40,8.05
48,Ayagoz,KZ,2021-12-04 05:33:11,47.9714,80.4392,27.95,94,59,7.11
49,Pevek,RU,2021-12-04 05:33:12,69.7008,170.3133,-9.8,93,100,11.39
50,Alice Springs,AU,2021-12-04 05:33:12,-23.7,133.8833,99.95,14,2,8.05
51,Chuy,UY,2021-12-04 05:33:13,-33.6971,-53.4616,58.73,90,35,4.59
52,Husavik,IS,2021-12-04 05:33:14,66.0449,-17.3389,10.31,76,21,11.86
53,Ribeira Grande,PT,2021-12-04 05:33:14,38.5167,-28.7,64.98,82,100,10.42
54,Tuktoyaktuk,CA,2021-12-04 05:33:14,69.4541,-133.0374,-23.8,69,1,4.61
55,Shevchenko,UA,2021-12-04 05:33:15,48.5,35.0,34.84,93,75,8.95
56,El Cobre,CU,2021-12-04 05:33:16,20.0489,-75.9469,76.44,78,20,9.22
57,Namibe,AO,2021-12-04 05:33:16,-15.1961,12.1522,71.74,71,82,5.93
58,Vestmannaeyjar,IS,2021-12-04 05:33:17,63.4427,-20.2734,33.42,76,55,12.77
59,Bellevue,US,2021-12-04 05:30:21,47.6104,-122.2007,42.01,89,90,1.99
60,Rio Grande,BR,2021-12-04 05:33:18,-32.035,-52.0986,67.95,81,33,12.24
61,Beatrice,US,2021-12-04 05:33:18,40.2681,-96.747,42.01,72,14,8.57
62,Klaksvik,FO,2021-12-04 05:32:38,62.2266,-6.589,36.52,73,98,8.41
63,Mataura,NZ,2021-12-04 05:28:36,-46.1927,168.8643,65.86,96,97,3.06
64,Saint George,US,2021-12-04 05:28:21,37.1041,-113.5841,58.35,38,1,0.0
65,Norman Wells,CA,2021-12-04 05:33:19,65.282,-126.8329,-41.76,66,20,2.3
66,Provideniya,RU,2021-12-04 05:33:20,64.3833,-173.3,17.98,92,93,14.18
67,Kiama,AU,2021-12-04 05:33:20,-34.6833,150.8667,67.37,81,99,1.99
68,Doha,QA,2021-12-04 05:33:21,25.2867,51.5333,69.78,44,0,11.5
69,Portland,US,2021-12-04 05:33:21,45.5234,-122.6762,42.24,92,40,4.0
70,Honiara,SB,2021-12-04 05:33:22,-9.4333,159.95,82.56,82,100,3.91
71,Onguday,RU,2021-12-04 05:33:22,50.75,86.15,31.08,82,39,0.65
72,San Luis,AR,2021-12-04 05:31:07,-33.295,-66.3356,59.38,91,73,9.08
73,Maningrida,AU,2021-12-04 05:33:23,-12.0667,134.2667,90.72,56,100,11.23
74,Kenai,US,2021-12-04 05:33:24,60.5544,-151.2583,-1.97,84,1,5.75
75,Yellowknife,CA,2021-12-04 05:30:33,62.456,-114.3525,-17.88,76,40,10.36
76,Vardo,NO,2021-12-04 05:33:24,70.3705,31.1107,24.58,75,85,12.28
77,Carnarvon,AU,2021-12-04 05:33:25,-24.8667,113.6333,80.67,65,0,12.66
78,Thompson,CA,2021-12-04 05:33:25,55.7435,-97.8558,-16.44,76,75,0.0
79,Passo Fundo,BR,2021-12-04 05:33:26,-28.2628,-52.4067,58.42,88,0,11.63
80,Taua,BR,2021-12-04 05:33:26,-5.9667,-40.3,76.57,72,75,8.37
81,Pangnirtung,CA,2021-12-04 05:33:27,66.1451,-65.7125,15.84,77,100,8.12
82,San Quintin,MX,2021-12-04 05:33:27,30.4833,-115.95,58.41,87,70,7.92
83,Alofi,NU,2021-12-04 05:33:28,-19.0595,-169.9187,76.89,94,98,10.36
84,Oktyabrskiy,RU,2021-12-04 05:33:29,54.4815,53.471,36.25,84,96,19.19
85,Ushuaia,AR,2021-12-04 05:33:29,-54.8,-68.3,49.66,53,40,23.02
86,Moen,NO,2021-12-04 05:33:30,69.1304,18.6123,21.27,73,20,5.75
87,Ancud,CL,2021-12-04 05:33:31,-41.8697,-73.8203,47.43,87,0,2.84
88,Chokurdakh,RU,2021-12-04 05:33:32,70.6333,147.9167,-31.81,97,100,8.32
89,Vaini,TO,2021-12-04 05:33:33,-21.2,-175.2,82.56,89,20,10.36
90,Xai-Xai,MZ,2021-12-04 05:33:34,-25.0519,33.6442,85.15,59,50,4.56
91,Tahta,EG,2021-12-04 05:33:34,26.7693,31.5021,55.51,43,32,0.38
92,Avarua,CK,2021-12-04 05:34:35,-21.2078,-159.775,75.25,100,90,5.75
93,Kosa,RU,2021-12-04 05:34:35,59.9445,54.9977,17.58,95,100,9.26
94,Kruisfontein,ZA,2021-12-04 05:34:36,-34.0033,24.7314,58.89,73,100,8.41
95,Viedma,AR,2021-12-04 05:34:36,-40.8135,-62.9967,51.71,71,44,6.82
96,Sooke,CA,2021-12-04 05:34:37,48.3746,-123.7276,42.57,84,100,12.66
97,Busselton,AU,2021-12-04 05:34:37,-33.65,115.3333,85.08,36,10,7.74
98,Lorengau,PG,2021-12-04 05:34:38,-2.0226,147.2712,83.1,81,72,10.85
99,Beitbridge,ZW,2021-12-04 05:34:39,-22.2167,30.0,83.43,55,0,20.96
